epoch,loss,PA,VA,OA,mode
1,29.00817,0.2299,0.6181,0.4490,training
1,21.85089,0.6236,0.7650,0.6610,validation
2,19.44141,0.5731,0.7341,0.6460,training
2,19.72153,0.6632,0.7689,0.6987,validation
3,17.26971,0.6747,0.7772,0.7115,training
3,19.52843,0.6523,0.7640,0.7057,validation
4,15.71605,0.7302,0.8179,0.7617,training
4,19.83417,0.6556,0.7609,0.7076,validation
5,14.74588,0.7710,0.8496,0.7978,training
5,20.00889,0.6506,0.7592,0.7096,validation
6,14.17929,0.7953,0.8657,0.8186,training
6,20.16235,0.6466,0.7573,0.7109,validation
7,13.77725,0.8142,0.8770,0.8333,training
7,20.45886,0.6402,0.7564,0.7120,validation
8,13.48690,0.8279,0.8855,0.8443,training
8,20.52818,0.6374,0.7542,0.7114,validation
