epoch,loss,accuracy,mode
0, 5.75970,0.39920,training
0, 4.30723,0.48243,validation
1, 4.25362,0.37981,training
1, 3.13179,0.48864,validation
2, 3.65401,0.40807,training
2, 2.61038,0.51797,validation
3, 3.28472,0.43295,training
3, 2.40684,0.52962,validation
4, 3.03947,0.45125,training
4, 2.27827,0.54613,validation
5, 2.86619,0.46743,training
5, 2.17685,0.55382,validation
6, 2.72453,0.48442,training
6, 2.11817,0.55722,validation
7, 2.60630,0.49686,training
7, 2.07305,0.56310,validation
8, 2.50531,0.51030,training
8, 2.02350,0.57362,validation
9, 2.40876,0.52292,training
9, 1.99500,0.57692,validation
10, 2.33417,0.53258,training
10, 1.97966,0.58067,validation
11, 2.25639,0.54256,training
11, 1.95084,0.58502,validation
12, 2.18710,0.55219,training
12, 1.94049,0.58325,validation
13, 2.12660,0.55810,training
13, 1.92612,0.59171,validation
14, 2.06777,0.56710,training
14, 1.91631,0.59349,validation
15, 2.02010,0.57369,training
15, 1.90022,0.59642,validation
16, 1.97148,0.57946,training
16, 1.88843,0.60248,validation
17, 1.92495,0.58498,training
17, 1.88618,0.60444,validation
18, 1.88019,0.59225,training
18, 1.87687,0.60452,validation
19, 1.84394,0.59781,training
19, 1.87152,0.60352,validation
20, 1.80517,0.60108,training
20, 1.86100,0.61007,validation
21, 1.76804,0.60672,training
21, 1.86269,0.60711,validation
22, 1.73250,0.61054,training
22, 1.85539,0.61174,validation
23, 1.69964,0.61500,training
23, 1.85568,0.60850,validation
24, 1.66778,0.61788,training
24, 1.82402,0.60757,validation
25, 1.63425,0.62145,training
25, 1.83029,0.60751,validation
26, 1.59806,0.62814,training
26, 1.81339,0.61659,validation
27, 1.57147,0.63185,training
27, 1.79957,0.60337,validation
28, 1.54127,0.63469,training
28, 1.80373,0.60542,validation
29, 1.51771,0.63893,training
29, 1.79628,0.58885,validation
30, 1.49110,0.64204,training
30, 1.79789,0.59129,validation
31, 1.46889,0.64417,training
31, 1.78169,0.59059,validation
32, 1.44666,0.64723,training
32, 1.80814,0.59248,validation
33, 1.42929,0.64920,training
33, 1.78512,0.59242,validation
34, 1.40311,0.65367,training
34, 1.77851,0.59645,validation
35, 1.38519,0.65538,training
35, 1.78342,0.58353,validation
36, 1.36798,0.65725,training
36, 1.78810,0.59782,validation
37, 1.35194,0.66039,training
37, 1.79877,0.58495,validation
38, 1.33289,0.66147,training
38, 1.79510,0.59978,validation
39, 1.31582,0.66539,training
39, 1.79252,0.58925,validation
40, 1.30206,0.66546,training
40, 1.79946,0.58523,validation
41, 1.28691,0.66825,training
41, 1.80307,0.59478,validation
42, 1.27523,0.67035,training
42, 1.79769,0.58593,validation
43, 1.25809,0.67294,training
43, 1.77509,0.58505,validation
44, 1.24499,0.67416,training
44, 1.78933,0.58585,validation
45, 1.23242,0.67649,training
45, 1.78743,0.59176,validation
46, 1.21911,0.67827,training
46, 1.81711,0.58533,validation
47, 1.20944,0.68030,training
47, 1.80089,0.58247,validation
48, 1.19621,0.68102,training
48, 1.81820,0.56619,validation
49, 1.18777,0.68335,training
49, 1.78801,0.59114,validation
50, 1.17734,0.68464,training
50, 1.82023,0.57135,validation
51, 1.16595,0.68632,training
51, 1.80655,0.58471,validation
52, 1.15609,0.68881,training
52, 1.81872,0.58106,validation
53, 1.14410,0.68928,training
53, 1.79913,0.58995,validation
54, 1.13480,0.69166,training
54, 1.83611,0.57442,validation
55, 1.12471,0.69253,training
55, 1.81168,0.59193,validation
56, 1.11698,0.69520,training
56, 1.80079,0.57550,validation
57, 1.11081,0.69442,training
57, 1.85290,0.59441,validation
58, 1.10055,0.69657,training
58, 1.82461,0.56859,validation
59, 1.09288,0.69768,training
59, 1.80203,0.59740,validation
60, 1.08427,0.70019,training
60, 1.83398,0.57117,validation
61, 1.07838,0.70044,training
61, 1.80808,0.59509,validation
62, 1.07212,0.70164,training
62, 1.83577,0.56859,validation
63, 1.06652,0.70198,training
63, 1.81214,0.59478,validation
64, 1.05506,0.70509,training
64, 1.82419,0.57177,validation
65, 1.05175,0.70522,training
65, 1.78583,0.57915,validation
66, 1.04534,0.70651,training
66, 1.86966,0.57688,validation
67, 1.04110,0.70692,training
67, 1.79144,0.58583,validation
68, 1.03394,0.70909,training
68, 1.85532,0.58503,validation
69, 1.02438,0.71072,training
69, 1.81405,0.56717,validation
70, 1.02401,0.71042,training
70, 1.84178,0.58351,validation
71, 1.01738,0.71259,training
71, 1.81451,0.57561,validation
72, 1.01007,0.71323,training
72, 1.86445,0.58276,validation
73, 1.00074,0.71393,training
73, 1.80720,0.57847,validation
74, 0.99998,0.71518,training
74, 1.86088,0.56934,validation
75, 0.99224,0.71673,training
75, 1.82412,0.59214,validation
76, 0.99198,0.71800,training
76, 1.84889,0.57871,validation
